City,Country,Latitude,Longitude,Temperature,Humidity,Cloudliness,Wind_Speed
bluff,nz,-78.53310599541702,156.53163823784934,67.54,79,48,12.77
souillac,mu,-32.14970948842436,63.027526807316434,75.64,83,48,11.21
sur,om,22.590864892556297,60.044884080533706,72.94,100,20,15.79
hobart,au,-87.16629807432543,134.9938257391491,59,47,75,18.34
saleaula,ws,3.7990885250780337,-172.18527952102792,,,,
puerto princesa,ph,9.173430353775018,119.52278094106032,80.6,83,75,4.7
bluff,nz,-65.22854236866974,157.00395404546617,67.54,79,48,12.77
nadym,ru,64.7543441976853,72.61499906261517,23.85,90,44,14.34
vaini,to,-65.13550596823933,-170.79976410688909,84.2,79,75,17.22
rikitea,pf,-50.34610727443001,-126.24162465657815,76.86,100,92,16.35
constitucion,mx,13.116350275274101,-128.19245837898697,,,,
faanui,pf,-3.3588084409990557,-153.4005047788428,82.71,98,0,12.44
khatanga,ru,72.53563282106106,98.23083381831378,-19.45,28,0,9.42
pevek,ru,85.39521789633329,166.79126694793553,21.91,88,88,18.48
port alfred,za,-85.70322181805398,52.718222259835784,63.9,99,56,2.71
broome,au,-15.810205537080947,123.72058016306244,89.6,62,0,8.05
yar-sale,ru,70.69035592758016,73.28697536075853,25.87,89,76,16.8
kapaa,us,10.10051399191019,-168.2189204387724,76.37,69,40,17.22
norman wells,ca,84.21498453757971,-117.06857184167367,-9.41,76,20,5.82
bredasdorp,za,-85.8941907132718,17.06772297464053,62.6,67,20,2.24
sukumo,jp,31.81075800751647,132.88261440636762,53.19,97,100,7.96
chernyy yar,ru,47.9282449245097,45.867927500306365,38.61,96,92,15.46
hobart,au,-59.91050523792949,149.8835976790765,59,47,75,18.34
illoqqortoormiut,gl,86.26145237814981,-17.96762281273047,,,,
port elizabeth,za,-55.108793038070324,29.292138878569972,57.2,93,0,4.7
codrington,ag,25.21453328614909,-44.315423676592246,,,,
hobart,au,-86.17650139614994,140.98407748404446,59,47,75,18.34
hithadhoo,mv,-4.8859173513299226,80.34018717700724,79.56,100,80,12.77
faanui,pf,-1.1429847295583215,-153.43752219533218,82.71,98,0,12.44
chapais,ca,49.24858409321715,-75.09382460378072,28.4,92,90,5.82
tuktoyaktuk,ca,81.23002206465412,-139.29849927979308,-5.81,83,20,10.29
aberdeen,us,45.56065358076137,-99.18187193867266,37.4,69,1,4.7
mongo,td,12.579390668722581,18.399558333139822,61.24,63,8,2.82
port alfred,za,-69.87916871569482,43.89196682309475,63.9,99,56,2.71
yar-sale,ru,69.10581671976828,70.09933846935277,25.87,89,76,16.8
ushuaia,ar,-73.03975930246517,-74.6087131407933,60.8,44,0,13.22
bluff,nz,-58.79760624809742,165.43419943510344,67.54,79,48,12.77
wahiawa,us,22.738686108599182,-157.83267444707752,78.84,57,20,18.34
los llanos de aridane,es,25.639939211939563,-25.24783404882797,66.2,82,0,8.05
salalah,om,15.643419028014463,54.98693258722383,78.8,34,0,8.05
parakai,nz,-36.771400312458645,174.0452783870191,75.2,60,0,13.87
punta arenas,cl,-70.10356307248755,-117.12773373155301,57.2,58,0,17.22
pevek,ru,88.31306083772878,170.1550479987484,21.91,88,88,18.48
alvaraes,br,-3.3828002055745543,-64.98024637921267,80.28,87,24,4.38
castro,cl,-48.58644690661315,-102.82659384490455,61.83,83,64,1.92
new norfolk,au,-71.06588752685548,132.22093575197738,59,47,75,18.34
hermanus,za,-77.28089710314902,-5.84277554612072,50.49,95,36,2.93
saint-philippe,re,-66.98792622188436,72.85398280164705,76.26,78,0,4.7
carnarvon,au,-29.89438400731097,87.64209109986314,82.26,68,92,7.4
san rafael,ar,-36.278475009979786,-68.35960949407976,51.79,100,92,10.42
ust-kamchatsk,ru,55.56098447224397,162.21409272059287,,,,
saint-ambroise,ca,50.20183267109766,-70.82237128310736,27.39,86,90,5.82
norman wells,ca,70.19131357161018,-124.6041949864132,-9.41,76,20,5.82
tiksi,ru,89.59609558148827,128.3480128061775,-23.54,70,44,3.27
taolanaro,mg,-51.01418133129045,53.50718201878118,,,,
mecca,sa,21.79814499948941,40.955126194506335,77,69,0,3.27
punta arenas,cl,-62.95153811143322,-87.44453552060371,57.2,58,0,17.22
